date,open,high,low,close,volume,eob,pct_chg,ssf_s,ssf_m,ssf_m_20,ssf_l,grid_coupling
2025-06-12,8.7,8.83,8.62,8.75,53754299,2025-06-12 00:00:00+08:00,0.34,9.216226208887406,7.927955341340396,9.513546409608475,8.701994476448363,9.610247443368042
2025-06-13,8.66,8.67,8.41,8.43,65239514,2025-06-13 00:00:00+08:00,-3.66,9.219398402236443,7.950655025305071,9.540786030366085,8.692631694711672,9.610247443368042
2025-06-16,8.34,8.52,8.33,8.48,33730699,2025-06-16 00:00:00+08:00,0.59,9.204046905268621,7.973878574100017,9.56865428892002,8.683299664914362,9.610247443368042
2025-06-17,8.48,8.6,8.43,8.55,38010724,2025-06-17 00:00:00+08:00,0.83,9.172676585772443,7.997533098156914,9.597039717788297,8.674006240869943,9.610247443368042
2025-06-18,8.5,8.54,8.4,8.43,31176188,2025-06-18 00:00:00+08:00,-1.4,9.127358986079333,8.021513160270192,9.62581579232423,8.664757130239185,9.610247443368042
2025-06-19,8.43,8.43,8.13,8.15,46730835,2025-06-19 00:00:00+08:00,-3.32,9.068652151743043,8.045680724380171,9.654816869256205,8.655553515075633,9.610247443368042
2025-06-20,8.2,8.22,8.04,8.05,30327719,2025-06-20 00:00:00+08:00,-1.23,8.997521754966424,8.069893600599064,9.683872320718876,8.646395058148974,9.610247443368042
2025-06-23,8.01,8.18,7.96,8.15,27356841,2025-06-23 00:00:00+08:00,1.24,8.916719013118337,8.09403382734581,9.71284059281497,8.637283073378384,9.610247443368042
2025-06-24,8.17,8.31,8.11,8.29,31725564,2025-06-24 00:00:00+08:00,1.72,8.830353535792696,8.118011327289128,9.741613592746953,8.628221061807976,9.610247443368042
2025-06-25,8.32,8.37,8.25,8.37,41019782,2025-06-25 00:00:00+08:00,0.97,8.742744679327036,8.14175344636654,9.770104135639848,8.619213670455421,9.610247443368042
2025-06-26,8.36,8.46,8.3,8.31,43085201,2025-06-26 00:00:00+08:00,-0.72,8.657023521680324,8.165184555283787,9.798221466340545,8.610264462230235,9.610247443368042
2025-06-27,8.35,8.51,8.32,8.44,49478027,2025-06-27 00:00:00+08:00,1.56,8.57672921147037,8.18825265887436,9.825903190649232,8.601378905244992,9.610247443368042
2025-06-30,8.49,8.61,8.43,8.6,57864579,2025-06-30 00:00:00+08:00,1.9,8.50561286120108,8.210931449587836,9.853117739505402,8.592564736172461,9.610247443368042
2025-07-01,8.62,8.62,8.48,8.57,45224177,2025-07-01 00:00:00+08:00,-0.35,8.44582702372668,8.233192058992106,9.879830470790527,8.583828897029152,9.610247443368042
2025-07-02,8.56,8.82,8.46,8.69,80931801,2025-07-02 00:00:00+08:00,1.4,8.399360278739184,8.255023951356954,9.906028741628344,8.575179886599921,9.610247443368042
2025-07-03,8.6,8.64,8.43,8.52,47787275,2025-07-03 00:00:00+08:00,-1.96,8.365698700762758,8.276393708278459,9.93167244993415,8.566623182823852,9.610247443368042
2025-07-04,8.5,8.53,8.4,8.41,31882502,2025-07-04 00:00:00+08:00,-1.29,8.343068694094516,8.297255711842928,9.956706854211513,8.558162311621752,9.610247443368042
2025-07-07,8.5,9.24,8.5,9.14,152166369,2025-07-07 00:00:00+08:00,8.68,8.335164806024714,8.31766808987816,9.98120170785379,8.549811940996188,9.610247443368042
2025-07-14,8.91,9.14,8.85,8.86,77538909,2025-07-14 00:00:00+08:00,0.68,8.471418633028012,8.41338562815412,10.096062753784944,8.510035044513154,9.292958268608366
2025-07-15,8.8,8.89,8.66,8.73,46522921,2025-07-15 00:00:00+08:00,-1.47,8.517433992667423,8.431273277107067,10.11752793252848,8.502526085593738,9.292958268608366
2025-07-16,8.73,8.83,8.66,8.72,32697349,2025-07-16 00:00:00+08:00,-0.11,8.563698938325526,8.448728865107046,10.138474638128455,8.495179408770104,9.292958268608366
2025-07-17,8.73,8.77,8.62,8.77,34937955,2025-07-17 00:00:00+08:00,0.57,8.608533684421872,8.465749453807007,10.158899344568407,8.488000307407699,9.292958268608366
2025-07-18,8.77,8.78,8.66,8.74,35543372,2025-07-18 00:00:00+08:00,-0.34,8.650372503737453,8.4823282259939,10.17879387119268,8.48099325692096,9.292958268608366
2025-07-21,8.91,9.58,8.91,9.31,161558951,2025-07-21 00:00:00+08:00,6.52,8.69232362625496,8.498536701335983,10.198244041603179,8.474171235447956,9.292958268608366
2025-07-22,9.31,9.93,9.18,9.64,176459333,2025-07-22 00:00:00+08:00,3.54,8.738570260039973,8.51448393701083,10.217380724412996,8.467551572779827,9.292958268608366
2025-07-23,9.64,9.68,9.12,9.14,117982624,2025-07-23 00:00:00+08:00,-5.19,8.787503191034538,8.530199204420427,10.236239045304512,8.461142863285684,9.292958268608366
2025-07-24,8.89,9.09,8.84,9.05,72602386,2025-07-24 00:00:00+08:00,-0.98,8.836846881045176,8.545695655169146,10.254834786202975,8.454951727653382,9.292958268608366
2025-07-25,9.02,9.03,8.92,8.93,44151574,2025-07-25 00:00:00+08:00,-1.33,8.883814926835104,8.560967799255007,10.273161359106007,8.448982433735639,9.292958268608366
2025-07-28,8.95,8.97,8.86,8.9,40964362,2025-07-28 00:00:00+08:00,-0.34,8.9261617849862,8.576005677466288,10.291206812959546,8.443238396541656,9.292958268608366
2025-07-29,8.89,8.91,8.74,8.91,39896395,2025-07-29 00:00:00+08:00,0.11,8.962482149502737,8.590800837785512,10.308961005342614,8.437722831625893,9.292958268608366
